Free_Text
"Pasien Rahmat Widodo, KTP 3276010101010004, 52 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah A, nomor rekam medis 727106, datang pada 10/09/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020004. Keluhan: hipertensi, keluhan tambahan: sesak napas. disarankan mengubah pola makan. Dokter rujukan: Dr. Hasan. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Wawan Purnomo, KTP 3276010101010009, 62 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah B, nomor rekam medis 870412, datang pada 11/09/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020003. Keluhan: migrain, keluhan tambahan: nyeri kepala. diberikan suplemen zat besi. Dokter rujukan: Dr. Hasan. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Rahmat Widodo, KTP 3276010101010005, 53 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 085643217890, golongan darah B, nomor rekam medis 816693, datang pada 2/09/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020010. Keluhan: anemia, keluhan tambahan: mual. diberikan insulin. Dokter rujukan: Dr. Diah. perlu dilakukan tes darah ulang"
"Pasien Tono Suryono, KTP 3276010101010005, 63 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah A, nomor rekam medis 227440, datang pada 13/08/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020001. Keluhan: alergi musiman, keluhan tambahan: nyeri kepala. diberikan obat antihipertensi. Dokter rujukan: Dr. Hasan. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Dewi Santika, KTP 3276010101010001, 63 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081234567890, golongan darah B, nomor rekam medis 404203, datang pada 14/09/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020005. Keluhan: infeksi saluran pernapasan, keluhan tambahan: sakit pinggang. diberikan antihistamin. Dokter rujukan: Dr. Dian. diberikan edukasi terkait penyakit"
"Pasien Nita Susanti, KTP 3276010101010007, 65 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081234567890, golongan darah O, nomor rekam medis 643408, datang pada 3/08/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020005. Keluhan: anemia, keluhan tambahan: batuk. diberikan diuretik. Dokter rujukan: Dr. Diah. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Nita Susanti, KTP 3276010101010005, 66 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah B, nomor rekam medis 907829, datang pada 27/07/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020009. Keluhan: nyeri punggung, keluhan tambahan: batuk. diberikan resep anti migrain. Dokter rujukan: Dr. Lukman. diberikan edukasi terkait penyakit"
"Pasien Andi Suryana, KTP 3276010101010003, 65 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 082234567654, golongan darah O, nomor rekam medis 501565, datang pada 18/08/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020001. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: mual. direkomendasikan fisioterapi. Dokter rujukan: Dr. Hasan. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Lestari Nugroho, KTP 3276010101010010, 77 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah AB, nomor rekam medis 504322, datang pada 25/08/2023. Diperiksa oleh Dr. Sinta Wulandari, KTP 3173010202020008. Keluhan: hipertensi, keluhan tambahan: nyeri kepala. direkomendasikan fisioterapi. Dokter rujukan: Dr. Diah. diberikan edukasi terkait penyakit"
"Pasien Tono Suryono, KTP 3276010101010010, 50 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 082234567654, golongan darah A, nomor rekam medis 917368, datang pada 8/07/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020003. Keluhan: migrain, keluhan tambahan: mual. direkomendasikan fisioterapi. Dokter rujukan: Dr. Dian. keluhan sudah berkurang setelah pengobatan"
"Pasien Lestari Nugroho, KTP 3276010101010010, 67 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah B, nomor rekam medis 531481, datang pada 10/08/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020009. Keluhan: asma, keluhan tambahan: pusing. diberikan suplemen zat besi. Dokter rujukan: Dr. Diah. dijadwalkan untuk pemeriksaan lanjutan bulan depan"
"Pasien Lestari Nugroho, KTP 3276010101010007, 51 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 082234567654, golongan darah A, nomor rekam medis 270372, datang pada 25/08/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020008. Keluhan: gagal jantung, keluhan tambahan: kelelahan. diberikan antihistamin. Dokter rujukan: Dr. Hasan. dijadwalkan untuk pemeriksaan lanjutan bulan depan"
"Pasien Lestari Nugroho, KTP 3276010101010006, 71 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081234567890, golongan darah O, nomor rekam medis 825869, datang pada 1/08/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020006. Keluhan: hipertensi, keluhan tambahan: batuk. diberikan diuretik. Dokter rujukan: Dr. Diah. perlu dilakukan tes darah ulang"
"Pasien Tono Suryono, KTP 3276010101010002, 51 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 191611, datang pada 28/09/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020009. Keluhan: infeksi saluran pernapasan, keluhan tambahan: kelelahan. diberikan inhaler. Dokter rujukan: Dr. Lukman. dijadwalkan untuk pemeriksaan lanjutan bulan depan"
"Pasien Yanti Kartika, KTP 3276010101010008, 51 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 085643217890, golongan darah B, nomor rekam medis 196002, datang pada 24/08/2023. Diperiksa oleh Dr. Sinta Wulandari, KTP 3173010202020007. Keluhan: asma, keluhan tambahan: mual. diberikan inhaler. Dokter rujukan: Dr. Lukman. diminta mengurangi konsumsi garam dan lemak"
"Pasien Tono Suryono, KTP 3276010101010009, 51 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 082234567654, golongan darah O, nomor rekam medis 402735, datang pada 16/07/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020009. Keluhan: hipertensi, keluhan tambahan: kelelahan. diberikan antihistamin. Dokter rujukan: Dr. Lukman. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Dewi Santika, KTP 3276010101010006, 79 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 085643217890, golongan darah A, nomor rekam medis 522064, datang pada 2/09/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020002. Keluhan: nyeri punggung, keluhan tambahan: sesak napas. direkomendasikan fisioterapi. Dokter rujukan: Dr. Hasan. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Yanti Kartika, KTP 3276010101010001, 74 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah O, nomor rekam medis 480154, datang pada 17/09/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020004. Keluhan: alergi musiman, keluhan tambahan: batuk. direkomendasikan fisioterapi. Dokter rujukan: Dr. Diah. keluhan sudah berkurang setelah pengobatan"
"Pasien Wawan Purnomo, KTP 3276010101010001, 25 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah O, nomor rekam medis 183020, datang pada 18/08/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020002. Keluhan: migrain, keluhan tambahan: sesak napas. diberikan diuretik. Dokter rujukan: Dr. Dian. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Andi Suryana, KTP 3276010101010004, 80 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 406531, datang pada 20/07/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020010. Keluhan: infeksi saluran pernapasan, keluhan tambahan: kelelahan. diberikan antibiotik selama 5 hari. Dokter rujukan: Dr. Lukman. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Nita Susanti, KTP 3276010101010005, 27 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah AB, nomor rekam medis 654774, datang pada 15/07/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020003. Keluhan: asma, keluhan tambahan: sesak napas. disarankan mengubah pola makan. Dokter rujukan: Dr. Hasan. diminta mengurangi konsumsi garam dan lemak"
"Pasien Andi Suryana, KTP 3276010101010001, 60 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah AB, nomor rekam medis 411725, datang pada 8/08/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020006. Keluhan: alergi musiman, keluhan tambahan: kelelahan. direkomendasikan fisioterapi. Dokter rujukan: Dr. Hasan. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Lestari Nugroho, KTP 3276010101010001, 26 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 082234567654, golongan darah O, nomor rekam medis 678494, datang pada 26/07/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020001. Keluhan: hipertensi, keluhan tambahan: batuk. direkomendasikan fisioterapi. Dokter rujukan: Dr. Hasan. diminta mengurangi konsumsi garam dan lemak"
"Pasien Rahmat Widodo, KTP 3276010101010005, 66 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081987654321, golongan darah O, nomor rekam medis 365538, datang pada 14/07/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020009. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: pusing. diberikan insulin. Dokter rujukan: Dr. Hasan. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Andi Suryana, KTP 3276010101010003, 55 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 085643217890, golongan darah B, nomor rekam medis 264220, datang pada 17/07/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020002. Keluhan: asma, keluhan tambahan: sulit tidur. diberikan antibiotik selama 5 hari. Dokter rujukan: Dr. Dian. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Dewi Santika, KTP 3276010101010003, 60 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah A, nomor rekam medis 254991, datang pada 11/07/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020001. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: sakit pinggang. diberikan resep anti migrain. Dokter rujukan: Dr. Diah. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Andi Suryana, KTP 3276010101010003, 64 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah O, nomor rekam medis 429994, datang pada 15/07/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020003. Keluhan: hipertensi, keluhan tambahan: sulit tidur. diberikan inhaler. Dokter rujukan: Dr. Lukman. keluhan sudah berkurang setelah pengobatan"
"Pasien Nita Susanti, KTP 3276010101010008, 68 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081234567890, golongan darah O, nomor rekam medis 622889, datang pada 3/09/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020001. Keluhan: nyeri punggung, keluhan tambahan: sakit pinggang. diberikan obat antihipertensi. Dokter rujukan: Dr. Dian. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Lestari Nugroho, KTP 3276010101010009, 38 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 982293, datang pada 1/07/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020006. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: kelelahan. diberikan insulin. Dokter rujukan: Dr. Hasan. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Lestari Nugroho, KTP 3276010101010007, 66 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah O, nomor rekam medis 130615, datang pada 3/07/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020007. Keluhan: migrain, keluhan tambahan: sulit tidur. diberikan antihistamin. Dokter rujukan: Dr. Lukman. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Rahmat Widodo, KTP 3276010101010003, 79 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah B, nomor rekam medis 861685, datang pada 10/08/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020007. Keluhan: gagal jantung, keluhan tambahan: kelelahan. diberikan inhaler. Dokter rujukan: Dr. Lukman. keluhan sudah berkurang setelah pengobatan"
"Pasien Yanti Kartika, KTP 3276010101010009, 24 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 085643217890, golongan darah O, nomor rekam medis 139827, datang pada 27/09/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020010. Keluhan: nyeri punggung, keluhan tambahan: pusing. diberikan inhaler. Dokter rujukan: Dr. Diah. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Lestari Nugroho, KTP 3276010101010006, 66 tahun, laki-laki, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah A, nomor rekam medis 457782, datang pada 18/08/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020006. Keluhan: migrain, keluhan tambahan: pusing. disarankan mengubah pola makan. Dokter rujukan: Dr. Hasan. pasien merasa lebih baik setelah obat diberikan"
"Pasien Lestari Nugroho, KTP 3276010101010002, 70 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 085643217890, golongan darah O, nomor rekam medis 316312, datang pada 9/08/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020002. Keluhan: anemia, keluhan tambahan: nyeri kepala. diberikan obat antihipertensi. Dokter rujukan: Dr. Lukman. pasien merasa lebih baik setelah obat diberikan"
"Pasien Lestari Nugroho, KTP 3276010101010005, 21 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 082234567654, golongan darah AB, nomor rekam medis 751436, datang pada 23/08/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020009. Keluhan: anemia, keluhan tambahan: kelelahan. direkomendasikan fisioterapi. Dokter rujukan: Dr. Dian. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Tono Suryono, KTP 3276010101010008, 70 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081987654321, golongan darah A, nomor rekam medis 927826, datang pada 10/07/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020002. Keluhan: kolesterol tinggi, keluhan tambahan: nyeri kepala. diberikan suplemen zat besi. Dokter rujukan: Dr. Lukman. akan dirujuk ke spesialis untuk evaluasi lebih lanjut"
"Pasien Andi Suryana, KTP 3276010101010002, 54 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah O, nomor rekam medis 339932, datang pada 20/07/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020008. Keluhan: gagal jantung, keluhan tambahan: kelelahan. direkomendasikan fisioterapi. Dokter rujukan: Dr. Diah. perlu dilakukan tes darah ulang"
"Pasien Tono Suryono, KTP 3276010101010007, 34 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081234567890, golongan darah B, nomor rekam medis 701080, datang pada 14/08/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020009. Keluhan: anemia, keluhan tambahan: pusing. diberikan antihistamin. Dokter rujukan: Dr. Hasan. diberikan edukasi terkait penyakit"
"Pasien Yudi Raharjo, KTP 3276010101010001, 34 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah A, nomor rekam medis 500191, datang pada 21/08/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020003. Keluhan: hipertensi, keluhan tambahan: sesak napas. diberikan diuretik. Dokter rujukan: Dr. Hasan. pasien merasa lebih baik setelah obat diberikan"
"Pasien Siti Aminah, KTP 3276010101010004, 24 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 082234567654, golongan darah O, nomor rekam medis 174977, datang pada 5/07/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020009. Keluhan: alergi musiman, keluhan tambahan: sesak napas. diberikan antibiotik selama 5 hari. Dokter rujukan: Dr. Diah. pasien merasa lebih baik setelah obat diberikan"
"Pasien Wawan Purnomo, KTP 3276010101010009, 45 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 500070, datang pada 2/07/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020006. Keluhan: asma, keluhan tambahan: nyeri kepala. diberikan resep anti migrain. Dokter rujukan: Dr. Lukman. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Siti Aminah, KTP 3276010101010002, 63 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 082234567654, golongan darah O, nomor rekam medis 101630, datang pada 14/08/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020010. Keluhan: gagal jantung, keluhan tambahan: sesak napas. diberikan inhaler. Dokter rujukan: Dr. Dian. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Dewi Santika, KTP 3276010101010009, 72 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 462311, datang pada 2/08/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020010. Keluhan: hipertensi, keluhan tambahan: sakit pinggang. diberikan obat antihipertensi. Dokter rujukan: Dr. Hasan. diberikan edukasi terkait penyakit"
"Pasien Siti Aminah, KTP 3276010101010006, 36 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 081987654321, golongan darah O, nomor rekam medis 716153, datang pada 2/09/2023. Diperiksa oleh Dr. Aditya Widjaja, KTP 3173010202020006. Keluhan: infeksi saluran pernapasan, keluhan tambahan: mual. diberikan insulin. Dokter rujukan: Dr. Lukman. perlu dilakukan tes darah ulang"
"Pasien Andi Suryana, KTP 3276010101010002, 47 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 082234567654, golongan darah B, nomor rekam medis 528106, datang pada 17/08/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020006. Keluhan: diabetes mellitus tipe 2, keluhan tambahan: mual. diberikan antibiotik selama 5 hari. Dokter rujukan: Dr. Diah. diminta mengurangi konsumsi garam dan lemak"
"Pasien Wawan Purnomo, KTP 3276010101010003, 48 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 082234567654, golongan darah B, nomor rekam medis 619299, datang pada 10/08/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020008. Keluhan: alergi musiman, keluhan tambahan: kelelahan. diberikan inhaler. Dokter rujukan: Dr. Diah. keluhan sudah berkurang setelah pengobatan"
"Pasien Yudi Raharjo, KTP 3276010101010006, 54 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah O, nomor rekam medis 997375, datang pada 9/09/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020002. Keluhan: infeksi saluran pernapasan, keluhan tambahan: mual. disarankan mengubah pola makan. Dokter rujukan: Dr. Hasan. pasien merasa lebih baik setelah obat diberikan"
"Pasien Siti Aminah, KTP 3276010101010009, 71 tahun, laki-laki, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah A, nomor rekam medis 911376, datang pada 4/08/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020003. Keluhan: kolesterol tinggi, keluhan tambahan: nyeri kepala. diberikan antihistamin. Dokter rujukan: Dr. Diah. keluhan sudah berkurang setelah pengobatan"
"Pasien Siti Aminah, KTP 3276010101010008, 49 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah O, nomor rekam medis 321490, datang pada 2/09/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020008. Keluhan: hipertensi, keluhan tambahan: sakit pinggang. disarankan mengubah pola makan. Dokter rujukan: Dr. Diah. perlu dilakukan tes darah ulang"
"Pasien Tono Suryono, KTP 3276010101010010, 38 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 082234567654, golongan darah AB, nomor rekam medis 792601, datang pada 10/08/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020004. Keluhan: hipertensi, keluhan tambahan: sakit pinggang. disarankan mengubah pola makan. Dokter rujukan: Dr. Lukman. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Yanti Kartika, KTP 3276010101010007, 76 tahun, perempuan, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah A, nomor rekam medis 387191, datang pada 1/08/2023. Diperiksa oleh Dr. Gunawan Putra, KTP 3173010202020009. Keluhan: anemia, keluhan tambahan: batuk. diberikan antihistamin. Dokter rujukan: Dr. Diah. keluhan sudah berkurang setelah pengobatan"
"Pasien Siti Aminah, KTP 3276010101010006, 41 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081987654321, golongan darah AB, nomor rekam medis 846522, datang pada 17/07/2023. Diperiksa oleh Dr. Andika Pratama, KTP 3173010202020004. Keluhan: hipertensi, keluhan tambahan: pusing. diberikan antibiotik selama 5 hari. Dokter rujukan: Dr. Lukman. pasien merasa lebih baik setelah obat diberikan"
"Pasien Nita Susanti, KTP 3276010101010007, 21 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 081234567890, golongan darah B, nomor rekam medis 535921, datang pada 10/07/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020005. Keluhan: anemia, keluhan tambahan: sulit tidur. diberikan insulin. Dokter rujukan: Dr. Diah. diberikan edukasi terkait penyakit"
"Pasien Rahmat Widodo, KTP 3276010101010001, 54 tahun, laki-laki, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081234567890, golongan darah B, nomor rekam medis 214953, datang pada 3/08/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020001. Keluhan: hipertensi, keluhan tambahan: pusing. diberikan insulin. Dokter rujukan: Dr. Hasan. dijadwalkan untuk pemeriksaan lanjutan bulan depan"
"Pasien Rahmat Widodo, KTP 3276010101010009, 51 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081234567890, golongan darah O, nomor rekam medis 860385, datang pada 17/09/2023. Diperiksa oleh Dr. Farida Lestari, KTP 3173010202020003. Keluhan: hipertensi, keluhan tambahan: sesak napas. diberikan diuretik. Dokter rujukan: Dr. Dian. dijadwalkan untuk pemeriksaan lanjutan bulan depan"
"Pasien Yudi Raharjo, KTP 3276010101010003, 73 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 085643217890, golongan darah B, nomor rekam medis 845335, datang pada 18/08/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020003. Keluhan: asma, keluhan tambahan: sulit tidur. diberikan suplemen zat besi. Dokter rujukan: Dr. Dian. keluhan masih tetap dirasakan, perlu observasi lebih lanjut"
"Pasien Yanti Kartika, KTP 3276010101010001, 56 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 082234567654, golongan darah O, nomor rekam medis 255411, datang pada 21/07/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020009. Keluhan: kolesterol tinggi, keluhan tambahan: sesak napas. disarankan mengubah pola makan. Dokter rujukan: Dr. Lukman. keluhan sudah berkurang setelah pengobatan"
"Pasien Wawan Purnomo, KTP 3276010101010010, 27 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah AB, nomor rekam medis 937414, datang pada 28/07/2023. Diperiksa oleh Dr. Budi Santoso, KTP 3173010202020007. Keluhan: hipertensi, keluhan tambahan: sulit tidur. diberikan insulin. Dokter rujukan: Dr. Dian. keluhan sudah berkurang setelah pengobatan"
"Pasien Yanti Kartika, KTP 3276010101010006, 27 tahun, laki-laki, alamat Jl. Sudirman No. 56, Bandung, nomor telepon 081987654321, golongan darah B, nomor rekam medis 482595, datang pada 11/09/2023. Diperiksa oleh Dr. Sari Utami, KTP 3173010202020006. Keluhan: infeksi saluran pernapasan, keluhan tambahan: batuk. direkomendasikan fisioterapi. Dokter rujukan: Dr. Lukman. direkomendasikan untuk menjaga pola makan dan olahraga"
"Pasien Dewi Santika, KTP 3276010101010005, 70 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah B, nomor rekam medis 113283, datang pada 27/09/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020009. Keluhan: nyeri punggung, keluhan tambahan: sakit pinggang. diberikan inhaler. Dokter rujukan: Dr. Dian. pasien perlu kontrol lagi dalam 1 minggu"
"Pasien Rahmat Widodo, KTP 3276010101010004, 23 tahun, perempuan, alamat Jl. Merdeka No. 123, Jakarta, nomor telepon 081987654321, golongan darah O, nomor rekam medis 438352, datang pada 27/09/2023. Diperiksa oleh Dr. Rini Maharani, KTP 3173010202020005. Keluhan: hipertensi, keluhan tambahan: sakit pinggang. diberikan obat antihipertensi. Dokter rujukan: Dr. Lukman. diberikan edukasi terkait penyakit"
"Pasien Nita Susanti, KTP 3276010101010002, 72 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah AB, nomor rekam medis 595500, datang pada 24/07/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020001. Keluhan: kolesterol tinggi, keluhan tambahan: sesak napas. diberikan insulin. Dokter rujukan: Dr. Dian. diberikan edukasi terkait penyakit"
"Pasien Lestari Nugroho, KTP 3276010101010006, 60 tahun, perempuan, alamat Jl. Imam Bonjol No. 78, Surabaya, nomor telepon 085643217890, golongan darah O, nomor rekam medis 459632, datang pada 24/08/2023. Diperiksa oleh Dr. Wahyu Nugraha, KTP 3173010202020007. Keluhan: anemia, keluhan tambahan: mual. diberikan inhaler. Dokter rujukan: Dr. Dian. diminta mengurangi konsumsi garam dan lemak"
"Pasien Dewi Santika, KTP 3276010101010009, 76 tahun, perempuan, alamat Jl. Diponegoro No. 12, Medan, nomor telepon 085643217890, golongan darah O, nomor rekam medis 588456, datang pada 27/08/2023. Diperiksa oleh Dr. Sumarno Hadi, KTP 3173010202020006. Keluhan: gagal jantung, keluhan tambahan: pusing. diberikan resep anti migrain. Dokter rujukan: Dr. Lukman. keluhan sudah berkurang setelah pengobatan"
